"","user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote"
"1699","732451881943883777","1438548931865026563",2021-09-16 17:02:46,"occupiedbypak","Rocket attacks near a power station in #Kabul.","Twitter for Android",46,"1438193896207437833","732451881943883777","occupiedbypak",FALSE
"1700","1300418587669168129","1438548775551873028",2021-09-16 17:02:09,"BrusselsMorning","#European Commission Vice-President Josep Borrell stated on Tuesday that the bloc must engage with the #Taliban in announcing that the EC is trying to organise a diplomatic mission in #Kabul in cooperation with EU member states.

https://t.co/2vEjeNpDrE https://t.co/Jxfc4zGqyQ","Blog2Social APP",253,NA,NA,NA,FALSE
"1701","1300418587669168129","1438459656519790596",2021-09-16 11:08:02,"BrusselsMorning","#European Commission Vice-President Josep Borrell stated on Tuesday that the bloc must engage with the #Taliban in announcing that the EC is trying to organise a diplomatic mission in #Kabul in cooperation with EU member states.

https://t.co/2vEjeNpDrE https://t.co/Cso6Ay5att","Blog2Social APP",253,NA,NA,NA,FALSE
"1702","1428238184329015296","1438393561527971844",2021-09-16 06:45:23,"savepanjshir","WATCH:
@FoxNews, Man behind Pennsylvania billboard of Joe Biden revealed: 'Making the Taliban Great Again'

link: https://t.co/yRkjdJDLkc

#kabul #AfganWomen #afghanistan #talibans #PanjshirValley #panjshiri #<U+0623><U+0641><U+063A><U+0627><U+0646><U+0633><U+062A><U+0627><U+0646>  #<U+067E><U+0646><U+062C><U+0634><U+06CC><U+0631> #biden #trump #BREAKING #BreakingNews #Taliban https://t.co/f4nW6VDRw4","Twitter Web App",274,NA,NA,NA,FALSE
"1703","1428238184329015296","1438548064482914306",2021-09-16 16:59:20,"savepanjshir","#BREAKING NEWS :
Several rocket hit Electricity/ power station in Kabul Afghanistan 

#kabul #AfganWomen #afghanistan #talibans #PanjshirValley #panjshiri #<U+0623><U+0641><U+063A><U+0627><U+0646><U+0633><U+062A><U+0627><U+0646>  #<U+067E><U+0646><U+062C><U+0634><U+06CC><U+0631>
#freeafghanistan https://t.co/riuVRdTGWx","Twitter Web App",191,NA,NA,NA,FALSE
"1704","1428238184329015296","1438119649409781760",2021-09-15 12:36:58,"savepanjshir","watch: Pakistani girl supporting the Taliban  against innocent people in #Panjshir .
But when asked what if the #Taliban were to rule over Pakistan, she says, ""No, I don't want that.""

#kabul #AfganWomen #afghanistan #talibans #PanjshirValley #panjshiri #<U+0623><U+0641><U+063A><U+0627><U+0646><U+0633><U+062A><U+0627><U+0646>  #<U+067E><U+0646><U+062C><U+0634><U+06CC><U+0631> https://t.co/5fuBWDA7EV","Twitter Web App",273,NA,NA,NA,FALSE
"1705","803648695660986369","1438547996896026633",2021-09-16 16:59:04,"eha_news","Several rockets hit the area near a power station in #Kabul, local media reports. 

<U+25AA><U+FE0F>No damage or casualties reported so far. https://t.co/Fubcufy3mE","Twitter for iPhone",126,NA,NA,NA,FALSE
"1706","67185019","1438547987492315138",2021-09-16 16:59:01,"AliveinAfg","Reports from #Kabul say what is believed to be an 85mm RPG munition struck near Sekurtel checkpoint around 8pm (about 1.5 hours ago). Multiple explosions were reported from the area. Another hit near Chamteleh substation. The target is currently unknown. #Afghanistan #taliban https://t.co/4JXqPikW9p","Twitter for Android",276,NA,NA,NA,FALSE
"1707","892025903001341953","1438547859108818947",2021-09-16 16:58:31,"Thevampireabhi","<U+0001F6A8> Rocket attack in Kabul, Afghanistan <U+0001F6A8><U+0001F6A8>

Several rocket hit Electricity/ power station in Kabul Afghanistan.. 
More details awaited...
#KabulAttack #Kabul #Afghanistan https://t.co/Kr2bfjX1VY","Twitter for Android",168,NA,NA,NA,FALSE
"1708","740203086","1438547838594691074",2021-09-16 16:58:26,"qadir_sediqi","#AFG. Reportedly, several rockets landed in Khayer Khana, northern neighborhood of #Kabul city on Thursday evening.
There is no further details on possible casualties and damages. https://t.co/XjuyXnf9mC","Twitter for iPhone",179,NA,NA,NA,TRUE
